type,temp,diversity,det,avg_likelihood,max_likelihood
gflownet,0.825,0.78071487,0.20636478,-75.96899086,-30.27881896
gflownet,0.85,0.78038039,0.21906277,-72.01942116,-26.20678624
gflownet,0.875,0.7945730945467949,0.2286739699728787,-74.09346519470215,-24.929212102890016
gflownet,0.9,0.7968293445557356,0.2375288061052561,-75.5274308013916,-24.26018360465765
gflownet,0.925,0.7871537610143423,0.2136146041750908,-75.4001936340332,-26.376926379203795
gflownet,0.95,0.7865729986131191,0.216967691918835,-71.84113815307617,-24.76101944923401
ancestral,0.8,0.6831302192807197,0.08054375456413254,-311.292158203125,-263.7523583984375
ancestral,1.0,0.7591790115833282,0.16825194573029875,-281.2337857055664,-244.18308990478516
beam,10.0,0.5465726226568222,0.004399353165563297,-314.41856689453124,-252.15466232299804
